S (m),X Coordinate (m),Y Coordinate (m),Z Coordinate (m),Normal Stress (Pa)
0,5.00E-02,0,0,-2.86E+07
3.13E-03,5.31E-02,0,0,-9.54E+05
6.25E-03,5.63E-02,0,0,2.67E+07
9.38E-03,5.94E-02,0,0,4.21E+07
1.25E-02,6.25E-02,0,0,5.76E+07
1.56E-02,6.56E-02,0,0,6.45E+07
1.88E-02,6.88E-02,0,0,7.15E+07
2.19E-02,7.19E-02,0,0,7.22E+07
2.50E-02,7.50E-02,0,0,7.30E+07
2.81E-02,7.81E-02,0,0,6.90E+07
3.13E-02,8.13E-02,0,0,6.51E+07
3.44E-02,8.44E-02,0,0,5.73E+07
3.75E-02,8.75E-02,0,0,4.95E+07
4.06E-02,9.06E-02,0,0,3.86E+07
4.38E-02,9.38E-02,0,0,2.76E+07
4.69E-02,9.69E-02,0,0,1.38E+07
5.00E-02,0.1,0,0,-24685
